Details
User's screen resolution:,2560x1440
Base video resolution:,312x360
Base video frame rate (fps):,30
Delta video resolution:,312x360
Delta video frame rate (fps):,30
Delta video frame rate (fps):,30
Base video starting frame:,4
Delta video starting frame:,0
Set threshold:,15
Set minimum contour area:,30
Set duration threshold (in seconds):,1
Output image (or video) resolution:,1362x871



Timestamp,Duration
23.93,5.60
36.70,1.63
43.20,4.33
47.57,1.53
50.57,1.53
52.20,1.30
34.53,19.00
24.90,46.57
